ID﻿,year,country,country frequency
38,2014,United Kingdom,6
39,2014,United States of America,36
0,2015,Afghanistan,8
1,2015,Algeria,1
2,2015,Austria,3
3,2015,Bangladesh,3
4,2015,Belgium,3
5,2015,Benin,1
6,2015,Brazil,125
7,2015,Canada,5
8,2015,Chile,1
9,2015,China,136
10,2015,Czechia,1
11,2015,Denmark,9
12,2015,Egypt,2
13,2015,Estonia,2
14,2015,France,7
15,2015,Ghana,1
16,2015,India,24
17,2015,Iran,7
18,2015,Italy,24
19,2015,Japan,32
20,2015,Kuwait,11
21,2015,Lithuania,1
22,2015,Mexico,9
23,2015,Netherlands,3
24,2015,Poland,7
25,2015,Portugal,8
26,2015,Romania,1
27,2015,Russia,10
28,2015,Serbia,2
29,2015,Slovakia,2
30,2015,South Africa,1
31,2015,South Korea,19
32,2015,Spain,17
33,2015,Sri Lanka,2
34,2015,Sweden,3
35,2015,Taiwan,2
36,2015,Tanzania,12
37,2015,Thailand,2
38,2015,Turkey,1
39,2015,United Kingdom,2
40,2015,United States of America,32
0,2016,Argentina,1
1,2016,Australia,1
2,2016,Brazil,40
3,2016,Canada,6
4,2016,China,107
5,2016,Colombia,2
6,2016,Ecuador,1
7,2016,France,2
8,2016,Gambia,268
9,2016,Germany,10
10,2016,Greece,1
11,2016,Hungary,15
12,2016,India,59
13,2016,Iran,28
14,2016,Iraq,7
15,2016,Italy,2
16,2016,Japan,47
17,2016,Kuwait,1
18,2016,Malaysia,2
19,2016,Mexico,10
20,2016,Netherlands,3
21,2016,New Zealand,4
22,2016,Oman,1
23,2016,Pakistan,3
24,2016,Poland,2
25,2016,Portugal,4
26,2016,Puerto Rico,5
27,2016,Singapore,7
28,2016,Slovenia,13
29,2016,South Africa,9
30,2016,South Korea,4
31,2016,Spain,7
32,2016,Sri Lanka,16
33,2016,Sudan,6
34,2016,Sweden,5
35,2016,Taiwan,5
36,2016,Turkey,5
37,2016,United Kingdom,2
38,2016,United States of America,74
39,2016,Uruguay,2
0,2017,Algeria,5
1,2017,Australia,1
2,2017,Austria,304
3,2017,Brazil,72
4,2017,Bulgaria,5
5,2017,Chile,4
6,2017,China,199
7,2017,Colombia,3
8,2017,Cote d'Ivoire,1
9,2017,Denmark,12
10,2017,France,10
11,2017,Ghana,1
12,2017,Hungary,7
13,2017,India,66
14,2017,Indonesia,1
15,2017,Iran,14
16,2017,Iraq,4
17,2017,Israel,1
18,2017,Italy,2
19,2017,Japan,34
20,2017,Kuwait,1
21,2017,Madagascar,29
22,2017,Malaysia,16
23,2017,Namibia,2
24,2017,Netherlands,3
25,2017,New Zealand,2
26,2017,Oman,2
27,2017,Pakistan,10
28,2017,Peru,8
29,2017,Poland,7
30,2017,Portugal,5
31,2017,Russia,16
32,2017,Saudi Arabia,2
33,2017,Slovakia,1
34,2017,South Korea,6
35,2017,Sri Lanka,2
36,2017,Taiwan,2
37,2017,Thailand,7
38,2017,Turkey,3
39,2017,United Arab Emirates,3
40,2017,United Kingdom,2
41,2017,United States of America,11
42,2017,Venezuela,5
0,2018,Argentina,1
1,2018,Australia,11
2,2018,Bahamas,1
3,2018,Benin,1
4,2018,Brazil,36
5,2018,Canada,1
6,2018,Chile,7
7,2018,China,165
8,2018,Ecuador,8
9,2018,Egypt,1
10,2018,France,1
11,2018,Germany,20
12,2018,India,54
13,2018,Indonesia,1
14,2018,Iran,70
15,2018,Iraq,14
16,2018,Israel,4
17,2018,Italy,1
18,2018,Japan,103
19,2018,Malaysia,5
20,2018,Mexico,21
21,2018,Namibia,13
22,2018,New Zealand,2
23,2018,Niger,2
24,2018,Nigeria,103
25,2018,Norway,2
26,2018,Pakistan,13
27,2018,Panama,1
28,2018,Portugal,1
29,2018,Romania,1
30,2018,Russia,15
31,2018,Saudi Arabia,8
32,2018,Singapore,1
33,2018,South Africa,1
34,2018,South Korea,58
35,2018,Spain,2
36,2018,Sudan,5
37,2018,Sweden,1
38,2018,Thailand,20
39,2018,Tunisia,1
40,2018,Turkey,1
41,2018,Ukraine,75
42,2018,United Kingdom,6
43,2018,United States of America,110
44,2018,Vietnam,3
0,2019,Antarctica,1
1,2019,Argentina,12
2,2019,Australia,2
3,2019,Austria,2
4,2019,Belgium,2
5,2019,Brazil,7
6,2019,Canada,3
7,2019,Chile,2
8,2019,China,38
9,2019,Colombia,1
10,2019,Czechia,1
11,2019,Denmark,2
12,2019,Egypt,4
13,2019,Eritrea,1
14,2019,Finland,1
15,2019,France,2
16,2019,Germany,11
17,2019,Iceland,2
18,2019,India,59
19,2019,Indonesia,5
20,2019,Iran,48
21,2019,Iraq,21
22,2019,Israel,11
23,2019,Italy,43
24,2019,Japan,416
25,2019,Malaysia,2
26,2019,Mexico,3
27,2019,Netherlands,4
28,2019,New Zealand,3
29,2019,Pakistan,12
30,2019,Panama,1
31,2019,Poland,2
32,2019,Portugal,4
33,2019,Russia,6
34,2019,Saudi Arabia,3
35,2019,Schweiz,1
36,2019,South Africa,2
37,2019,South Korea,25
38,2019,Spain,7
39,2019,Sri Lanka,6
40,2019,Sudan,46
41,2019,Sweden,4
42,2019,Thailand,39
43,2019,Tunisia,19
44,2019,Turkey,11
45,2019,United Arab Emirates,6
46,2019,United Kingdom,11
47,2019,United States of America,370
48,2019,Vietnam,6
49,2019,Zambia,6
0,2020,Algeria,4
1,2020,Australia,3
2,2020,Austria,2
3,2020,Brazil,32
4,2020,Chile,1
5,2020,China,91
6,2020,Costa Rica,5
7,2020,Croatia,95
8,2020,Egypt,4
9,2020,France,6
10,2020,Germany,15
11,2020,Greece,2
12,2020,India,106
13,2020,Indonesia,2
14,2020,Iran,44
15,2020,Iraq,5
16,2020,Italy,12
17,2020,Japan,73
18,2020,Kenya,3
19,2020,Malaysia,6
20,2020,Mexico,55
21,2020,Mongolia,1
22,2020,Namibia,3
23,2020,Nigeria,4
24,2020,Norway,1
25,2020,Pakistan,8
26,2020,Poland,14
27,2020,Russia,1
28,2020,Saudi Arabia,25
29,2020,Slovakia,1
30,2020,South Korea,708
31,2020,Spain,1
32,2020,Sudan,3
33,2020,Taiwan,1
34,2020,Tanzania,1
35,2020,Thailand,5
36,2020,Trinidad and Tobago,2
37,2020,Turkey,5
38,2020,United States of America,92
39,2020,Vietnam,1
0,2021,Australia,1
1,2021,Austria,13
2,2021,Bangladesh,17
3,2021,Belarus,1
4,2021,Brazil,4
5,2021,Canada,2
6,2021,China,192
7,2021,Egypt,10
8,2021,France,1
9,2021,Germany,1
10,2021,Hungary,1
11,2021,Iceland,16
12,2021,India,195
13,2021,Indonesia,7
14,2021,Iran,92
15,2021,Iraq,42
16,2021,Italy,1
17,2021,Japan,33
18,2021,Kuwait,1
19,2021,Malaysia,1
20,2021,Mexico,26
21,2021,Nigeria,20
22,2021,Pakistan,13
23,2021,Philippines,7
24,2021,Poland,16
25,2021,Portugal,14
26,2021,Saudi Arabia,3
27,2021,Singapore,2
28,2021,Slovenia,18
29,2021,South Korea,269
30,2021,Spain,2
31,2021,Taiwan,1
32,2021,Thailand,9
33,2021,Turkey,5
34,2021,United Arab Emirates,9
35,2021,United States of America,95
36,2021,Vietnam,25
0,2022,Antarctica,2
1,2022,Australia,1
2,2022,Austria,16
3,2022,Bangladesh,7
4,2022,Belgium,3
5,2022,Brazil,7
6,2022,Cameroon,1
7,2022,Canada,1
8,2022,China,71
9,2022,Croatia,1
10,2022,Egypt,5
11,2022,France,5
12,2022,Germany,17
13,2022,Guatemala,1
14,2022,India,83
15,2022,Indonesia,1
16,2022,Iran,149
17,2022,Iraq,35
18,2022,Italy,26
19,2022,Japan,98
20,2022,Malaysia,1
21,2022,Mexico,4
22,2022,Nigeria,13
23,2022,Pakistan,13
24,2022,Philippines,12
25,2022,Poland,19
26,2022,Portugal,9
27,2022,Russia,3
28,2022,Serbia,1
29,2022,Slovakia,24
30,2022,South Korea,5
31,2022,Spain,213
32,2022,Sri Lanka,3
33,2022,Taiwan,5
34,2022,Tanzania,1
35,2022,Thailand,1
36,2022,Tunisia,3
37,2022,Turkey,51
38,2022,United Kingdom,5
39,2022,United States of America,30
40,2022,Venezuela,20
41,2022,Vietnam,22
0,2023,Antarctica,2
1,2023,Argentina,1
2,2023,Austria,1
3,2023,Bangladesh,5
4,2023,Belgium,3
5,2023,Brazil,3
6,2023,Burkina Faso,6
7,2023,Canada,9
8,2023,China,155
9,2023,Colombia,15
10,2023,Ecuador,1
11,2023,Egypt,7
12,2023,France,27
13,2023,Germany,1
14,2023,Greece,1
15,2023,India,25
16,2023,Iran,11
17,2023,Iraq,45
18,2023,Italy,10
19,2023,Japan,76
20,2023,Malaysia,2
21,2023,Mexico,31
22,2023,Nigeria,2
23,2023,Pakistan,7
24,2023,Peru,13
25,2023,Philippines,11
26,2023,Poland,27
27,2023,Portugal,9
28,2023,Russia,6
29,2023,Saudi Arabia,1
30,2023,Serbia,5
31,2023,Singapore,1
32,2023,South Africa,4
33,2023,South Korea,10
34,2023,Spain,8
35,2023,Sweden,1
36,2023,Taiwan,2
37,2023,Tanzania,1
38,2023,Thailand,8
39,2023,Turkey,13
40,2023,United States of America,12
41,2023,Vietnam,4
